"","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits"
"1",1991,NA,NA,NA,NA,NA,NA,NA,17441,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"2",1992,NA,NA,NA,NA,NA,NA,NA,21872,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"3",1993,NA,NA,NA,NA,NA,NA,NA,23971,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"4",1994,NA,NA,NA,NA,NA,NA,NA,25057,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"5",1995,NA,NA,NA,NA,NA,NA,NA,28913,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"6",1996,NA,NA,NA,NA,NA,NA,NA,35100,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"7",1997,NA,NA,NA,NA,NA,NA,NA,32728,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"8",1998,NA,NA,NA,NA,NA,NA,NA,25293,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"9",1999,NA,NA,NA,NA,NA,NA,NA,21854,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"10",2000,NA,NA,NA,NA,NA,NA,NA,19682,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"11",2001,NA,NA,NA,NA,NA,NA,NA,19157,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"12",2002,NA,NA,NA,NA,NA,NA,NA,15067,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"13",2003,NA,NA,NA,NA,NA,NA,NA,12008,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"14",2004,NA,NA,NA,NA,NA,NA,NA,11976,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"15",2005,NA,NA,NA,23,39,54,NA,13728,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"16",2006,NA,NA,NA,34,41,47,NA,13292,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"17",2007,NA,NA,NA,44,50,57,NA,14564,490,NA,0.964,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"18",2008,NA,NA,NA,42,54,65,NA,15878,903,NA,1.012,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"19",2009,NA,NA,NA,33,38,43,NA,15372,38,NA,1.307,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"20",2010,NA,NA,NA,30,42,54,NA,12136,69,NA,0.932,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"21",2011,NA,NA,NA,25,33,42,NA,12902,95,NA,1.262,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"22",2012,NA,NA,NA,30,36,43,NA,11143,590,NA,1.043,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"23",2013,NA,NA,NA,31,38,46,NA,11375,687,NA,1.014,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"24",2014,NA,NA,NA,43,53,63,NA,14406,448,NA,0.907,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"25",2015,NA,NA,NA,59,68,77,NA,15663,395,NA,0.763,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"26",2016,NA,NA,NA,67,78,89,NA,19412,981,NA,0.845,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"27",2017,NA,NA,NA,74,88,102,NA,21719,756,NA,0.825,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"28",2018,NA,NA,NA,66,78,89,NA,21572,326,NA,0.91,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"29",2019,NA,NA,NA,46,59,71,NA,21551,513,NA,1.216,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"30",2020,NA,NA,NA,NA,NA,NA,NA,19072,316,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"31",2021,NA,NA,NA,37,48,59,NA,NA,NA,NA,NA,NA,"Stock published","Advice",NA,"anf.27.3a46",NA,2021,"tonnes","SSB","tonnes","F","Year-1"
"32",1986,NA,NA,NA,NA,NA,NA,NA,8217,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"33",1987,NA,NA,NA,NA,NA,NA,NA,7618,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"34",1988,NA,NA,NA,NA,NA,NA,NA,8381,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"35",1989,NA,NA,NA,NA,NA,NA,NA,8821,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"36",1990,NA,NA,NA,NA,NA,NA,NA,9631,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"37",1991,NA,NA,NA,NA,NA,NA,NA,8779,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"38",1992,NA,NA,NA,NA,NA,NA,NA,8176,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"39",1993,NA,NA,NA,NA,NA,NA,NA,6567,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"40",1994,NA,NA,NA,NA,NA,NA,NA,5745,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"41",1995,NA,NA,NA,NA,NA,NA,NA,6954,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"42",1996,NA,NA,NA,NA,NA,NA,NA,8093,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"43",1997,NA,NA,NA,NA,NA,NA,NA,8116,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"44",1998,NA,NA,NA,NA,NA,NA,NA,8598,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"45",1999,NA,NA,NA,NA,NA,NA,NA,6738,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"46",2000,NA,NA,NA,NA,NA,NA,NA,6644,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"47",2001,NA,NA,NA,NA,NA,NA,NA,5728,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"48",2002,NA,NA,NA,NA,NA,NA,NA,6505,NA,NA,NA,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"49",2003,0,0,0,0.662,1.03,1.397,8351,8171,179,NA,1.921,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"50",2004,2,3,1,0.824,1.228,1.633,8213,7537,676,NA,1.583,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"51",2005,1,1,0,0.756,1.128,1.5,7914,7187,727,NA,1.662,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"52",2006,1,1,0,1.087,1.514,1.941,6835,6131,704,NA,1.069,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"53",2007,1,1,1,1.223,1.722,2.221,7021,6608,413,NA,0.966,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"54",2008,2,2,1,2.222,2.921,3.62,8985,7399,1585,NA,0.729,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
"55",2009,0,0,0,1.615,2.187,2.758,10400,8287,2113,NA,1.126,NA,"Stock published","Advice",NA,"ank.27.78abd",NA,2021,"tonnes","Biomass Index","Kilograms per hour","F/Fmsy","ratio"
